ID,大学,調査時期,学年,年齢,性別,居場所1,居場所2,居場所3,居場所4,居場所5,居場所6,居場所7,居場所8,居場所9,居場所10,居場所11,居場所12,居場所13,居場所14,居場所15,居場所16,居場所17,居場所18,居場所19,居場所20,居場所21,居場所22,居場所23,SS1,SS2,SS3,SS4,SS5,SS6,SS7,SS8,SS9,SS10,SS11,SS12,SS13,SS14,SS15,SS16,SS17,SS18,SS19,SS20,SS21,SS22,SS23,SS24,SS25,SS26,SS27,SS28,SS29,SS30,SS31,SS32,SS33,SS34,SS35,友人1,友人2,友人3,友人4,友人5,友人6,友人7,友人8,友人9,友人10,友人11,友人12,友人13,友人14,友人15,友人16,友人17,友人18,友人19,友人20,友人21,友人22,友人23,友人24,友人25,友人26,友人27,友人28,友人29,友人30,友人31,友人32,友人33,SS14R,SS10R,SS23R,SS33R,社会的居場所,個人的居場所,ソーシャルスキル,感情統制を除くソーシャルスキル,傷つけられ回避,距離確保,礼儀,傷つけ回避,Z関係開始,Z解読,Z主張性,Z感情統制,Z関係維持,Z記号化,Z社会的居場所,Z個人的居場所,Zソーシャルスキル5下位尺度版,Z傷つけられ回避,Z距離確保,Z礼儀,Z傷つけ回避,友人との付き合い方
208,4,4,3,20,2,3,3,2,3,3,2,2,2,2,4,3,3,3,1,2,2,2,2,2,3,2,2,3,2,3,3,2,2,3,2,3,3,3,3,3,2,3,2,2,2,2,3,2,3,2,2,4,2,1,3,3,2,3,2,3,3,4,3,2,2,3,4,2,2,4,2,4,4,3,4,3,3,4,4,4,4,3,4,4,4,2,2,4,2,2,1,2,4,4,4,2,2,2,3,2,2.666666667,2,2.461309524,2.548387097,3.333333333,2,4,2.75,0.239575842,0.81572501,-0.614419994,-0.209283944,-0.966748564,-1.03515048,-0.694694138,-1.795970462,-0.128036071,0.36963402,-0.742756796,0.104352087,-0.962995383,5
209,4,4,3,21,1,4,4,1,3,1,3,2,2,2,4,3,3,3,2,3,3,2,2,2,3,3,2,3,3,2,1,4,2,4,2,3,3,2,3,2,3,4,3,1,2,2,3,2,4,3,1,4,3,2,3,2,3,2,2,3,2,4,3,4,2,2,4,2,1,3,2,4,3,3,2,4,4,5,5,4,5,2,3,4,5,3,1,5,3,3,2,2,2,4,4,2,1,3,4,3,2.866666667,2.125,2.732142857,2.580645161,2.666666667,2.285714286,4.222222222,3.25,-0.499331939,1.516881901,-0.614419994,1.677442522,-0.411878407,-0.605941745,-0.356658054,-1.590074041,-0.046991962,-0.444092671,-0.413972945,0.498571081,-0.229578099,2
210,4,4,3,20,1,3,2,2,2,2,2,2,2,3,3,1,1,1,2,2,2,2,2,3,1,4,3,1,1,1,2,2,2,3,3,3,4,4,2,3,2,4,2,2,1,1,1,2,3,3,2,2,2,2,1,1,1,2,2,4,3,3,4,4,1,1,4,2,5,4,3,2,1,5,3,3,3,3,2,4,3,3,3,4,3,5,2,3,1,1,2,1,1,2,2,2,1,1,3,2,1.8,2.625,2.19047619,2.129032258,1.777777778,2.714285714,3.333333333,2.875,-0.868785829,-1.287745662,-0.614419994,-0.586629237,1.252732061,-1.893567952,-2.159517172,-0.766488357,-1.181609484,-1.529061593,0.079202833,-1.078304895,-0.779641062,1
211,4,4,3,20,1,4,4,4,4,4,3,2,2,4,4,4,4,3,4,4,4,4,4,4,4,2,3,4,3,3,3,2,3,2,2,3,3,4,3,2,3,3,3,3,3,3,3,2,3,3,3,2,3,2,4,3,4,3,3,3,3,2,4,2,2,2,2,4,2,3,2,2,2,3,2,1,2,3,4,5,4,5,5,5,5,4,1,5,2,3,2,1,4,4,4,4,2,1,2,2,3.733333333,3.375,2.657738095,2.838709677,2.222222222,2.571428571,4,3.375,0.978483623,0.348287083,0.218546859,-0.963974531,-0.411878407,0.252475727,1.108164979,0.468890169,0.601360907,-0.986577132,-0.085189093,0.104352087,-0.046223778,2
212,4,4,3,21,1,4,3,4,4,4,3,3,3,4,4,4,3,3,2,2,4,4,2,4,3,4,4,4,2,3,4,2,4,3,2,4,4,4,3,4,2,3,3,3,3,2,1,4,2,3,4,2,2,1,1,1,2,3,3,2,4,3,4,3,4,2,2,2,2,2,2,1,1,4,3,5,2,4,5,5,5,5,3,4,5,3,1,5,2,3,2,1,1,2,4,1,2,1,1,1,3.2,3.875,2.455357143,2.64516129,1.777777778,2.428571429,3.888888889,3.5,0.609029732,-1.054026699,0.773858094,-1.718665117,-0.411878407,0.252475727,0.206735421,1.292475853,0.115096255,-1.529061593,-0.249581019,-0.09275741,0.137130542,2
213,4,4,2,19,2,3,4,4,3,3,3,3,3,4,4,2,4,3,3,4,3,4,3,3,3,3,2,2,3,2,1,1,2,1,1,4,3,4,3,1,2,4,3,2,3,1,3,2,3,1,4,2,1,1,2,1,1,2,3,2,3,3,2,4,4,1,2,2,1,3,1,4,2,2,3,3,2,5,5,5,5,5,3,4,5,1,1,2,1,2,2,2,4,4,2,1,1,1,1,2,3.133333333,3.25,1.955357143,2,2.333333333,1.571428571,4.111111111,3,-1.422966665,-0.820307735,-1.169731229,-1.718665117,-2.631359032,0.681684463,0.094056726,0.262993748,-1.505785919,-0.850956017,-1.235932573,0.301461584,-0.596286741,2
214,4,4,2,19,2,4,4,3,4,3,4,3,2,2,4,3,4,2,2,2,3,4,3,4,3,3,2,2,3,1,1,2,2,1,2,2,3,2,3,2,2,3,2,1,2,2,2,3,2,2,3,2,1,2,2,1,1,3,3,3,2,3,1,5,5,2,4,2,2,4,2,5,4,2,5,5,5,5,5,4,3,3,3,3,5,4,5,5,2,2,2,4,5,5,5,3,2,3,2,3,3.066666667,3,2.169642857,2,4.444444444,2,4,4.375,-1.422966665,-1.287745662,-0.614419994,0.168061349,-0.966748564,-0.605941745,-0.018621969,-0.148799094,-1.505785919,1.725845172,-0.742756796,0.104352087,1.420610789,4
215,4,4,2,20,1,4,4,4,1,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,4,4,4,4,1,4,4,1,1,4,1,1,4,4,1,1,1,4,1,1,4,4,4,1,4,4,4,4,1,1,4,4,1,4,1,4,4,4,4,5,1,5,5,1,1,5,1,5,1,1,5,5,1,5,5,5,5,5,5,5,5,5,1,5,5,1,1,1,1,1,1,1,1,1,1,1,3.4,4,2.258928571,2.548387097,2.333333333,1.571428571,5,3.5,0.793756678,1.049443974,-2.002698082,-2.096010411,0.697861905,-1.893567952,0.544771505,1.498372274,-0.128036071,-0.850956017,-1.235932573,1.87833756,0.137130542,5
216,4,4,2,20,1,4,4,2,2,2,2,2,2,2,3,4,4,4,4,4,2,2,2,2,3,1,2,2,1,1,1,2,1,2,2,3,3,3,2,2,1,4,1,2,2,1,2,2,4,4,3,4,1,1,3,1,1,1,1,4,3,4,1,3,2,1,2,2,1,4,2,1,1,1,1,2,1,3,4,2,3,2,4,4,2,3,1,4,2,1,1,1,1,2,4,2,1,2,2,2,3.066666667,1.875,2.029761905,1.935483871,1.333333333,1.428571429,3.111111111,2.5,-1.9771475,0.114568119,-2.002698082,-0.586629237,0.697861905,-1.893567952,-0.018621969,-2.001866883,-1.667874136,-2.071546054,-1.400324499,-1.47252389,-1.329704024,2
217,4,4,2,19,1,3,3,2,2,2,2,3,3,3,3,3,3,3,2,3,2,3,2,3,3,3,3,3,2,2,1,3,2,3,2,3,3,3,3,3,3,3,3,2,2,2,3,2,3,3,3,3,1,2,3,2,2,3,2,3,2,2,2,4,3,4,4,2,2,4,2,3,3,3,4,4,3,4,4,4,4,3,3,3,4,4,3,3,4,4,3,2,3,4,4,3,2,2,2,3,2.666666667,2.75,2.428571429,2.387096774,3.222222222,2.857142857,3.777777778,3.5,-0.868785829,0.114568119,0.218546859,0.168061349,-0.411878407,-1.03515048,-0.694694138,-0.560591936,-0.533256614,0.234012905,0.243594758,-0.289866907,0.137130542,1
