duration,GCB_1,GCB_2,GCB_3,GCB_4,GCB_5,GCB_6,GCB_7,GCB_8,GCB_9,GCB_10,GCB_11,GCB_12,GCB_13,GCB_14,GCB_15,BCTI_1,BCTI_2,BCTI_3,BCTI_4,BCTI_5,BCTI_6,BCTI_7,BCTI_8,BCTI_9,BCTI_10,BCTI_11,BCTI_12,BCTI_13,BCTI_14,BCTI_15,SIC,gender,age,edu_lv,employment,f.Gender,rndSel
462,2,3,2,3,2,4,4,2,4,5,4,4,2,2,5,3,3,6,6,7,8,3,3,7,2,6,5,3,7,3,4,2,21,1,5,Women,1
698,5,5,5,5,5,5,2,5,3,5,5,5,5,4,5,5,1,9,6,9,5,6,9,9,6,9,8,9,5,5,9,2,30,2,6,Women,1
1014,1,4,1,3,3,1,5,1,5,1,5,4,1,1,5,1,7,9,1,8,5,5,1,8,5,7,7,1,9,7,8,1,45,4,1,Men,1
695,2,3,5,3,3,2,4,3,4,3,3,4,5,2,5,5,8,6,3,7,9,5,2,6,7,9,6,4,7,7,5,1,39,4,1,Men,1
981,2,2,3,1,2,1,3,3,4,3,1,2,4,2,3,5,3,5,4,3,2,5,3,7,7,8,5,3,7,3,7,1,52,4,1,Men,1
755,4,2,1,3,2,2,2,2,4,3,4,3,2,2,4,5,7,6,5,5,1,3,4,3,3,4,7,4,2,5,5,1,40,4,3,Men,1
924,3,5,3,2,2,2,3,3,5,2,4,4,3,2,4,5,7,3,6,5,5,5,3,7,6,7,7,5,6,5,9,2,47,1,6,Women,1
1221,2,3,1,1,1,2,3,1,3,2,3,3,1,2,4,3,5,6,3,6,1,1,3,7,4,4,5,5,4,4,7,2,34,3,1,Women,1
885,1,4,2,2,2,1,2,3,4,3,1,2,2,1,4,4,4,2,2,2,2,7,2,4,5,5,5,3,4,2,5,2,20,1,5,Women,1
1012,3,2,2,3,2,1,2,2,3,4,2,4,3,2,4,5,5,7,2,5,1,5,1,8,5,3,5,5,5,3,4,1,40,6,1,Men,1
1394,3,2,4,1,1,1,1,5,4,3,1,4,3,2,5,4,6,6,3,5,3,5,8,6,7,7,5,5,8,2,8,2,32,4,6,Women,1
446,2,1,2,2,4,3,1,3,4,3,2,1,4,1,5,6,3,7,1,4,9,7,2,7,2,8,4,5,6,5,7,2,35,4,2,Women,1
706,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,6,2,3,1,2,1,5,1,4,2,3,2,1,5,1,33,1,1,Men,1
665,2,3,3,2,1,3,2,3,4,3,2,2,3,3,4,5,5,8,4,8,2,6,3,8,6,5,6,5,6,4,6,2,31,4,1,Women,1
554,3,4,3,3,3,3,4,3,4,4,3,4,2,3,4,5,5,6,4,6,5,7,5,6,6,5,5,6,6,4,7,2,55,1,1,Women,1
583,3,3,4,3,1,3,3,4,3,3,4,3,3,2,3,5,5,5,7,9,5,5,9,6,8,9,5,4,5,5,5,2,31,1,6,Women,1
594,5,4,4,5,4,4,4,4,5,4,4,4,4,4,5,7,7,7,6,7,7,7,6,7,8,8,7,3,6,6,7,2,27,4,3,Women,1
538,4,3,4,3,4,2,4,4,3,4,3,2,3,3,3,5,6,6,5,5,3,6,5,6,5,6,4,3,6,5,5,2,35,4,1,Women,1
575,4,5,3,4,5,1,4,4,5,5,4,4,3,4,5,7,5,8,2,7,8,4,6,7,6,5,6,6,7,6,9,2,27,4,1,Women,1
785,5,5,3,4,4,5,5,3,5,3,4,5,3,3,5,5,5,6,5,7,7,3,5,8,5,5,7,4,6,6,9,2,35,2,6,Women,1
651,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,5,5,7,4,7,1,7,6,8,6,9,6,7,8,7,7,2,55,3,1,Women,1
466,4,4,4,4,4,2,2,4,2,4,4,4,2,4,4,5,6,7,4,8,8,8,6,8,7,7,5,4,8,5,7,2,35,1,1,Women,1
569,4,4,2,3,4,5,4,2,5,2,4,3,1,3,4,6,3,5,3,7,8,3,3,8,4,3,6,5,5,5,8,1,34,4,1,Men,1
640,4,4,1,3,3,2,4,1,1,2,4,4,1,2,4,3,2,5,2,5,2,1,2,7,1,6,4,3,4,4,7,1,38,2,1,Men,1
831,4,4,2,3,2,3,4,4,4,4,2,4,4,1,4,3,3,6,5,7,2,7,4,6,6,5,5,3,5,5,7,2,40,5,6,Women,1
774,2,1,1,2,2,1,1,1,5,4,4,2,1,2,4,2,6,5,3,5,1,1,1,4,1,2,3,4,7,3,3,1,44,1,3,Men,1
2458,4,5,3,2,2,1,4,4,5,5,3,3,3,1,4,5,5,7,1,6,1,5,4,5,5,7,6,2,4,1,6,2,32,4,6,Women,1
735,1,2,1,1,2,1,3,1,4,4,2,2,2,2,4,1,2,4,3,6,1,2,1,8,3,5,5,3,5,2,6,1,47,1,1,Men,1
450,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,5,2,21,1,3,Women,1
727,1,1,1,1,2,1,2,1,4,3,1,2,1,2,4,1,3,5,1,5,2,1,1,4,1,4,5,1,4,1,5,2,34,4,2,Women,1
817,1,4,5,5,2,1,4,4,4,5,2,5,4,4,4,2,4,4,6,3,1,2,2,6,3,2,1,3,4,1,7,2,27,1,6,Women,1
372,3,5,4,4,3,4,3,4,4,4,2,3,4,4,4,7,5,5,4,5,5,8,3,5,7,6,5,5,7,4,7,2,26,4,1,Women,1
653,4,2,2,2,2,4,2,2,4,4,4,4,2,2,4,6,7,5,3,6,7,2,3,7,2,6,6,6,3,4,6,1,23,4,1,Men,1
579,4,2,2,4,2,4,3,2,4,4,4,2,4,4,3,4,6,3,6,5,6,5,3,4,4,5,5,4,5,5,5,1,48,2,3,Men,1
688,3,4,3,3,4,4,4,3,5,5,4,4,3,3,5,5,6,7,4,6,6,6,5,5,6,5,6,5,7,5,5,2,29,4,1,Women,1
1581,1,2,4,1,2,1,1,4,4,4,2,2,1,1,2,2,6,5,4,4,3,6,1,7,7,3,5,2,6,3,7,1,42,1,3,Men,1
615,5,3,2,1,2,4,4,2,4,4,4,4,3,1,5,3,1,9,2,6,8,6,5,9,4,9,8,3,9,3,8,2,27,3,1,Women,1
1445,2,2,2,2,2,1,1,3,4,2,1,2,1,2,4,2,4,6,2,5,8,4,3,7,5,3,5,3,5,4,6,2,50,3,6,Women,1
583,3,4,3,3,3,3,4,4,3,4,4,4,4,3,4,5,5,5,5,6,5,6,5,6,6,5,5,5,6,5,6,1,41,1,1,Men,1
574,2,4,2,2,2,2,2,4,3,4,3,4,3,4,4,2,2,8,3,4,4,2,1,8,5,6,5,3,5,3,6,1,26,6,1,Men,1
625,2,3,5,2,2,1,3,5,3,2,2,5,5,2,4,7,5,5,3,5,1,9,3,5,5,6,5,4,5,5,9,2,38,4,6,Women,1
962,4,4,4,3,2,3,3,5,2,3,4,3,2,2,2,5,5,9,2,5,8,7,1,7,9,1,7,5,5,5,9,2,37,1,6,Women,1
708,2,4,1,1,4,1,2,1,4,2,3,2,1,2,4,5,6,6,6,6,8,1,2,7,2,7,6,3,9,7,8,2,27,1,6,Women,1
1751,4,4,4,2,2,4,4,4,2,4,4,4,4,2,5,4,7,9,6,9,7,7,9,9,7,9,6,3,9,9,9,1,43,2,1,Men,1
922,3,4,1,2,4,3,3,2,2,4,4,2,2,2,4,6,5,6,6,6,5,2,2,6,2,5,6,2,6,5,6,2,37,1,6,Women,1
658,1,1,2,2,4,1,1,1,4,3,2,2,1,4,5,2,2,8,2,3,1,2,2,5,2,4,3,3,3,3,4,1,44,4,1,Men,1
639,4,1,2,3,2,2,3,2,4,4,4,2,2,4,4,3,5,7,3,5,1,5,2,5,2,5,2,4,1,2,5,1,32,4,1,Men,1
1637,1,1,1,2,1,1,1,2,1,4,1,1,1,2,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,3,2,36,3,6,Women,1
833,3,3,3,3,3,2,3,1,3,3,1,3,3,3,3,5,5,5,4,5,6,5,5,6,5,6,5,5,6,5,6,2,45,3,6,Women,1
2366,1,4,1,3,4,2,2,1,4,4,1,4,3,4,4,7,1,5,1,7,1,1,5,2,5,1,8,6,7,5,8,2,40,4,1,Women,1
797,4,4,4,4,4,4,2,4,4,4,4,2,4,2,4,7,6,7,5,7,5,6,6,8,7,8,6,4,7,5,7,1,38,1,6,Men,1
1007,2,2,2,2,1,1,2,2,4,2,1,3,4,1,2,1,8,6,1,5,1,5,1,8,1,5,5,5,6,2,8,1,46,1,2,Men,1
1153,4,2,1,2,4,4,4,2,5,4,5,2,4,4,5,1,8,9,3,8,3,2,5,7,2,8,6,4,8,5,8,1,46,2,1,Men,1
839,2,2,3,2,1,2,3,3,1,3,1,2,2,3,1,1,5,4,1,3,3,4,1,8,6,6,6,2,5,3,7,2,70,3,7,Women,1
1002,4,4,2,4,2,4,4,2,5,4,4,4,4,4,5,5,5,8,6,5,6,3,8,7,3,5,2,5,5,4,8,1,52,2,3,Men,1
680,2,2,3,2,2,2,2,3,3,4,5,3,3,4,5,5,5,8,3,4,3,7,5,5,5,6,5,5,8,5,7,1,38,4,3,Men,1
578,3,2,2,3,4,3,1,4,4,2,3,3,3,3,3,1,4,2,3,2,1,3,2,5,2,3,3,2,4,3,1,1,37,5,2,Men,1
643,1,3,3,2,1,1,2,3,1,2,2,3,2,3,2,2,5,6,1,6,2,3,3,4,4,3,4,4,6,2,5,1,31,4,1,Men,1
777,2,2,2,1,2,2,2,3,3,4,2,2,1,1,5,1,1,2,1,2,3,2,1,5,2,1,2,5,5,2,5,2,39,4,6,Women,1
838,1,2,2,1,2,1,3,4,4,2,1,1,4,4,1,2,8,9,5,1,1,7,1,5,5,1,1,1,6,1,8,1,45,2,1,Men,1
3007,2,2,2,2,5,4,4,4,2,4,4,4,2,2,5,5,4,8,6,6,7,5,4,7,5,7,5,5,7,4,7,2,30,4,1,Women,1
987,3,4,1,5,3,1,4,1,4,4,2,4,3,3,4,5,5,7,5,6,1,5,1,5,5,5,5,5,6,5,5,1,42,4,1,Men,1
979,2,2,1,1,3,1,2,1,1,4,2,2,1,3,4,5,2,5,2,5,5,2,2,5,2,5,5,5,6,3,6,1,32,1,3,Men,1
927,1,4,2,2,2,2,4,2,5,5,4,4,1,2,5,6,5,4,4,4,1,4,2,7,1,7,2,2,3,6,7,2,26,3,1,Women,1
820,1,2,1,2,2,2,2,1,4,2,2,4,2,1,4,3,4,7,1,2,2,5,2,7,5,1,5,2,4,2,6,1,42,4,1,Men,1
706,5,4,5,5,4,5,4,5,4,5,4,5,4,4,5,7,7,9,6,7,5,7,9,9,8,9,7,7,8,7,8,2,47,6,3,Women,1
2016,2,2,2,2,2,1,2,2,4,3,2,2,2,2,3,2,2,2,1,2,1,2,1,5,2,2,2,3,2,2,3,1,40,6,3,Men,1
841,2,1,1,1,1,2,1,1,2,2,2,2,1,1,2,4,5,6,6,6,2,4,4,6,4,7,6,6,6,5,7,2,44,2,1,Women,1
486,3,3,3,3,5,3,3,2,3,4,2,3,3,3,3,5,5,8,5,5,2,5,5,5,5,5,5,3,5,5,5,1,31,4,6,Men,1
643,2,1,1,2,1,2,2,2,4,4,1,1,4,2,4,1,5,1,1,5,2,5,2,5,2,3,5,1,6,2,4,1,22,4,4,Men,1
855,2,3,1,4,3,2,2,1,4,5,3,2,1,5,5,1,4,6,2,5,3,2,2,4,1,5,5,5,6,5,6,1,38,2,1,Men,1
496,1,2,1,2,2,1,5,1,2,2,2,4,2,1,4,1,2,3,1,5,1,5,4,5,3,1,5,5,6,2,6,1,35,4,3,Men,1
943,4,4,2,4,2,3,3,2,4,4,4,2,3,4,4,5,4,6,4,5,8,4,3,6,4,8,5,6,6,5,8,2,29,1,2,Women,1
964,1,3,3,1,1,2,2,2,3,2,3,2,3,1,3,1,1,2,1,3,1,2,1,3,1,1,5,2,2,2,5,2,33,4,6,Women,1
763,2,3,2,2,3,1,1,2,1,3,2,2,1,2,3,3,5,5,3,5,5,2,3,5,2,4,5,3,5,5,6,1,35,1,7,Men,1
742,3,2,2,2,3,3,2,3,4,2,2,3,2,2,5,5,4,8,5,6,5,5,5,6,3,7,4,3,4,5,7,2,21,1,5,Women,1
758,3,1,3,1,1,1,1,3,1,2,3,1,1,4,5,5,5,5,2,6,3,5,3,7,5,2,5,5,6,5,5,1,42,1,3,Men,1
309,4,2,1,3,2,3,2,1,5,4,3,2,3,3,4,2,4,7,5,7,6,4,7,6,4,5,6,5,7,5,6,2,28,4,3,Women,1
1267,3,4,1,3,3,3,2,1,5,4,4,4,4,4,4,5,5,7,5,5,2,4,2,6,4,6,5,6,4,6,7,2,32,2,8,Women,1
966,1,2,1,2,1,2,1,1,5,5,2,1,1,1,5,1,1,9,5,5,5,5,2,7,5,5,5,5,8,5,6,1,41,4,6,Men,1
1309,4,3,3,4,4,3,4,4,4,5,4,3,4,4,4,6,6,7,5,5,5,6,5,7,7,5,5,5,7,5,7,2,39,2,2,Women,1
571,3,3,2,2,2,2,3,2,4,4,3,2,2,3,4,3,4,5,4,5,3,4,4,6,3,5,5,5,6,5,6,2,42,2,3,Women,1
1107,3,1,4,4,3,2,3,5,5,2,1,3,4,3,4,2,7,6,4,6,5,4,4,7,7,6,5,2,6,2,8,2,27,4,6,Women,1
679,2,4,3,2,2,2,2,2,2,1,1,3,3,3,1,5,4,8,5,5,6,9,3,7,8,7,6,4,4,5,7,2,34,2,1,Women,1
460,2,3,1,1,2,1,4,1,2,2,2,4,1,2,4,2,1,8,3,5,7,2,7,6,5,8,5,3,2,2,7,2,22,1,5,Women,1
1771,1,2,2,3,2,1,2,1,5,3,2,2,2,1,2,7,6,4,6,7,6,6,1,7,5,6,5,5,4,4,6,2,28,4,6,Women,1
608,3,4,2,3,4,3,3,2,5,4,3,3,2,3,5,5,5,6,5,5,4,5,5,5,5,5,5,6,7,5,5,2,25,4,6,Women,1
1165,1,4,1,2,1,1,1,1,4,5,2,4,1,1,4,1,3,6,4,7,9,2,2,8,4,8,7,3,8,4,8,1,28,4,1,Men,1
1246,4,4,3,5,3,3,1,4,4,2,3,4,3,2,4,5,3,6,4,6,3,5,5,5,5,8,6,5,5,5,8,2,24,1,2,Women,1
887,2,2,3,1,1,1,2,2,4,4,2,1,3,2,2,2,2,7,1,4,3,4,1,5,2,2,5,5,6,2,6,1,23,1,5,Men,1
791,3,2,4,2,4,4,4,4,4,2,3,2,2,4,4,6,4,4,6,4,1,4,3,6,3,7,8,6,7,6,6,1,43,6,3,Men,1
755,3,3,3,3,3,3,3,3,3,4,3,3,3,2,3,5,5,5,4,4,4,5,5,5,5,5,5,5,6,5,5,2,37,4,6,Women,1
466,4,2,1,2,3,2,3,3,4,5,2,1,4,4,4,3,4,7,4,7,3,4,3,3,3,7,5,4,7,5,7,2,38,4,1,Women,1
2245,5,5,5,5,5,5,1,5,5,5,5,1,5,5,5,5,5,6,7,1,5,8,7,5,5,1,5,5,1,7,1,2,48,4,7,Women,1
1437,3,4,5,5,5,5,4,5,5,5,5,5,4,4,5,5,6,2,4,5,1,6,1,6,9,6,5,5,5,5,5,1,49,1,1,Men,1
977,3,3,2,2,5,2,2,4,5,5,2,4,4,5,5,3,5,7,3,5,8,3,3,9,7,8,5,3,7,5,9,1,31,4,1,Men,1
903,2,1,1,2,1,2,2,1,2,2,2,2,2,2,4,2,3,5,3,5,5,3,2,4,3,2,4,4,3,2,6,1,41,6,1,Men,1
845,4,4,3,4,3,3,4,3,4,4,4,3,3,3,4,5,5,7,5,5,5,5,5,7,5,5,5,5,5,5,6,2,22,1,8,Women,1
1831,4,1,2,2,3,3,2,2,4,2,3,4,3,3,5,1,3,8,3,5,2,3,2,5,5,7,5,5,4,5,2,1,41,1,3,Men,1
532,2,2,4,4,4,2,2,4,4,4,4,2,4,2,4,6,7,6,4,5,4,5,4,7,5,7,4,4,6,4,8,2,34,1,3,Women,1
926,1,2,4,2,4,1,5,5,5,3,3,4,2,3,4,5,5,6,1,3,8,8,1,6,5,4,4,5,5,2,4,2,39,2,3,Women,1
1127,4,4,3,2,2,4,3,4,4,4,4,3,2,3,4,3,6,8,6,8,4,4,7,9,6,8,6,4,7,5,8,1,41,1,1,Men,1
725,3,4,2,2,2,2,2,2,4,4,3,2,4,2,5,4,4,6,3,6,2,5,3,6,3,5,6,4,7,4,4,2,43,1,2,Women,1
476,1,1,1,1,2,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,2,2,2,2,41,4,1,Women,1
516,2,3,4,2,2,2,3,4,2,4,3,3,3,3,2,5,5,8,5,8,4,8,8,8,5,7,5,5,5,5,4,2,47,1,2,Women,1
536,2,3,4,2,3,2,3,4,3,4,2,2,2,3,3,5,6,4,2,6,3,5,2,7,4,3,5,5,5,5,5,2,43,2,3,Women,1
338,3,3,4,4,5,2,4,3,4,5,4,4,3,4,4,4,4,5,3,5,4,7,3,6,5,6,4,6,7,5,6,1,46,1,1,Men,1
949,4,4,4,2,2,3,4,3,4,2,4,5,5,2,3,7,4,3,6,4,5,9,4,6,9,7,6,4,3,5,7,1,72,4,7,Men,1
378,2,2,2,2,3,2,3,2,2,3,3,2,2,3,4,2,5,6,2,5,1,4,2,5,4,5,5,5,6,5,3,2,40,4,6,Women,1
1247,1,4,1,2,3,1,5,1,4,4,1,4,1,2,5,5,2,5,2,3,5,1,1,6,5,2,5,5,1,5,8,2,29,1,6,Women,1
524,3,3,2,3,2,4,1,3,3,2,3,2,3,3,4,5,6,4,5,5,5,6,5,6,7,7,5,2,5,5,8,2,34,3,6,Women,1
1030,3,3,4,3,3,3,3,4,5,4,3,4,4,4,4,5,6,6,5,5,3,6,6,5,6,4,5,5,7,4,6,2,52,3,3,Women,1
882,5,1,3,1,1,3,1,3,3,4,1,5,3,1,3,7,6,5,6,5,6,5,5,5,5,8,5,6,7,5,7,2,29,1,6,Women,1
473,2,2,3,2,3,3,3,3,4,4,4,4,4,2,5,6,4,9,2,6,6,6,6,8,7,7,3,4,7,2,8,1,32,4,3,Men,1
596,4,4,5,3,4,3,4,5,4,4,3,4,5,5,4,6,5,5,7,5,6,7,7,6,7,5,5,5,6,5,7,1,42,4,1,Men,1
1236,2,5,4,2,3,4,3,4,5,2,2,2,4,3,4,5,2,4,2,5,1,5,1,6,5,7,2,3,4,2,7,2,28,1,6,Women,1
798,2,4,3,2,4,4,4,4,3,4,2,5,3,1,4,6,5,2,1,7,6,7,4,9,7,7,6,5,8,3,7,2,33,3,6,Women,1
686,3,4,4,3,3,3,3,3,4,3,3,3,3,3,4,5,5,5,4,5,4,5,3,6,5,7,5,4,5,5,6,2,49,3,6,Women,1
575,2,4,2,2,3,2,3,3,4,3,3,4,2,2,3,5,7,4,5,5,5,3,3,6,5,6,5,5,6,5,6,2,52,3,2,Women,1
549,4,3,3,4,3,3,3,3,4,3,3,4,3,3,4,5,5,7,5,5,6,5,5,6,5,5,5,5,6,5,5,2,50,3,2,Women,1
686,4,4,4,2,2,2,4,5,4,4,3,5,3,2,5,6,3,5,3,4,4,3,7,8,5,7,5,6,8,3,7,2,31,4,3,Women,1
974,3,4,4,4,1,3,3,3,5,4,2,3,4,2,4,5,5,5,5,5,3,5,4,5,6,6,5,5,8,5,6,2,36,2,2,Women,1
