Age,Gender,Handedness,Sample,mean.correct.total,mean.RT.NoOutlier.con,mean.RT.NoOutlier.incon,mean.err.con,mean.err.incon
19.0,2,1,1,0.98,500.6045849609380,546.2611006067150,0.0,0.040000000000000000
19.0,2,2,1,0.89,464.2974742542610,490.3930392795140,0.12,0.10000000000000000
21.0,1,2,1,1.0,489.154794921875,515.3999365234380,0.0,0.0
19.0,2,2,1,0.95,535.6428019205730,572.7654224152260,0.040000000000000000,0.06000000000000010
19.0,1,2,1,0.99,490.3561114875640,558.1646902901780,0.020000000000000000,0.0
19.0,2,2,1,0.96,572.0969487404340,651.4776273686830,0.020000000000000000,0.06000000000000010
21.0,1,1,1,1.0,496.48260742187500,528.454345703125,0.0,0.0
18.0,2,2,1,0.98,481.55408203125000,499.55798599567800,0.0,0.040000000000000000
19.0,2,2,1,0.93,482.1021423339840,478.7333170572920,0.040000000000000000,0.10000000000000000
20.0,2,2,1,1.0,496.6436328125,581.73763671875,0.0,0.0
19.0,1,2,1,0.99,688.0309716796870,788.6439283721300,0.0,0.020000000000000000
21.0,1,2,1,0.99,759.9238427734370,764.1876395089280,0.0,0.020000000000000000
20.0,2,2,1,0.96,457.18349609375,475.9575354534650,0.0,0.08000000000000000
19.0,2,2,1,0.92,448.8200943317820,430.33101671006900,0.06000000000000010,0.10000000000000000
19.0,2,2,1,0.98,557.4047353316330,632.234449736926,0.020000000000000000,0.020000000000000000
20.0,2,2,1,1.0,463.7707275390630,510.53568359375,0.0,0.0
20.0,1,2,1,0.96,516.125298947704,515.4960833610370,0.020000000000000000,0.06000000000000010
19.0,2,1,1,0.83,386.1464010099090,433.3324497767860,0.18000000000000000,0.16000000000000000
18.0,1,2,1,1.0,598.924306640625,648.6081884765620,0.0,0.0
19.0,2,2,1,0.93,409.6432845744680,465.63652768342400,0.06000000000000010,0.08000000000000000
21.0,1,2,1,0.98,577.0000896843110,550.3045729033800,0.020000000000000000,0.020000000000000000
20.0,1,2,1,0.94,565.0777587890620,627.4832445227580,0.040000000000000000,0.08000000000000000
18.0,1,2,1,0.97,516.5862426757810,550.2963812934030,0.040000000000000000,0.020000000000000000
19.0,2,1,1,0.93,450.5883203125,481.82897097565400,0.0,0.14
20.0,2,2,1,0.95,410.31513572225800,423.8046078889270,0.020000000000000000,0.08000000000000000
19.0,1,2,1,0.93,437.0812676612370,500.5974811056390,0.06000000000000010,0.08000000000000000
21.0,1,2,1,0.91,426.5982432263960,498.9627962979400,0.06000000000000010,0.12
19.0,1,2,1,0.99,544.84248046875,529.5294015066960,0.0,0.020000000000000000
19.0,1,1,1,0.86,594.0817977241850,667.8147679379110,0.08000000000000000,0.20000000000000000
19.0,1,1,1,0.94,760.7828810671540,604.1392132302990,0.06000000000000010,0.06000000000000010
18.0,1,2,1,0.96,510.2773742675780,541.1773935953780,0.040000000000000000,0.040000000000000000
19.0,2,2,1,0.98,543.1008201132020,568.8617366868620,0.020000000000000000,0.020000000000000000
20.0,1,1,1,1.0,682.9537109375,680.2984893176020,0.0,0.0
20.0,1,2,1,0.97,502.42087890625,541.9665371509310,0.0,0.06000000000000010
19.0,1,2,1,0.99,501.9743353396050,555.907265625,0.020000000000000000,0.0
20.0,2,2,1,0.98,658.3018724091200,647.3830202792550,0.020000000000000000,0.020000000000000000
20.0,2,2,1,0.97,429.14830244348400,440.881904296875,0.06000000000000010,0.0
19.0,1,2,1,0.95,486.1577504475910,539.7189785571810,0.040000000000000000,0.06000000000000010
19.0,2,2,1,0.94,461.1334991455080,507.9997770889950,0.040000000000000000,0.08000000000000000
21.0,1,1,1,0.96,441.7720642089840,470.2286682128910,0.040000000000000000,0.040000000000000000
20.0,1,2,1,1.0,468.932919921875,578.4563720703130,0.0,0.0
20.0,2,2,1,0.92,451.9048399633290,510.6019656159160,0.020000000000000000,0.14
20.0,1,2,1,0.94,557.8653004964190,651.9871401579480,0.040000000000000000,0.08000000000000000
20.0,1,2,1,1.0,578.5109960937500,697.9634228515620,0.0,0.0
18.0,1,2,1,0.98,552.9123933753190,604.6721141581630,0.020000000000000000,0.020000000000000000
20.0,2,2,1,0.94,439.97363779496200,489.37689887152800,0.020000000000000000,0.10000000000000000
19.0,1,2,1,0.98,454.9413514429210,500.2196020009570,0.020000000000000000,0.020000000000000000
20.0,2,2,1,0.88,438.5977283824570,471.9194557883520,0.12,0.12
22.0,1,2,1,0.95,483.8183541805190,473.947026570638,0.06000000000000010,0.040000000000000000
19.0,1,2,1,0.96,747.1397959391270,835.8244628906240,0.040000000000000000,0.040000000000000000
22.0,1,2,1,0.95,616.4777566661010,634.2971403702450,0.06000000000000010,0.040000000000000000
21.0,2,2,1,1.0,508.2181005859380,557.761728515625,0.0,0.0
19.0,1,2,1,0.97,469.7509915098850,501.6572577293880,0.020000000000000000,0.040000000000000000
21.0,1,2,1,0.99,819.9925312898590,733.094594319661,0.020000000000000000,0.0
20.0,1,2,1,0.95,600.7148183186850,727.3629072473400,0.040000000000000000,0.06000000000000010
21.0,1,2,1,0.97,524.5381266276040,586.8819903938140,0.040000000000000000,0.020000000000000000
20.0,1,2,1,0.99,867.3204687499990,845.9685377038030,0.0,0.020000000000000000
18.0,1,2,1,1.0,499.4342919921870,573.5969238281250,0.0,0.0
18.0,1,2,1,0.95,496.1632752710460,539.211569081182,0.020000000000000000,0.08000000000000000
30.0,2,2,1,0.98,507.87224833170600,555.715888671875,0.040000000000000000,0.0
21.0,1,2,1,0.97,499.4984803491710,501.69407145182300,0.020000000000000000,0.040000000000000000
19.0,1,2,1,0.85,590.4486623364820,654.864036923363,0.14,0.16000000000000000
20.0,1,2,1,0.97,670.3157450358070,736.538619640261,0.0,0.06000000000000010
18.0,2,2,1,0.99,466.634892578125,516.9566824776790,0.0,0.020000000000000000
19.0,2,2,1,0.97,489.271708984375,504.21341526762000,0.0,0.06000000000000010
20.0,2,2,1,0.95,471.3001335299750,519.1238164487090,0.020000000000000000,0.08000000000000000
20.0,2,2,1,0.92,498.1895802815760,539.6619540127840,0.040000000000000000,0.12
