"","ID","Sample_Environment","Gender","Age","RT_Mirror_0","RT_Mirror_60","RT_Mirror_120","RT_Mirror_180","RT_Mirror_240","RT_Mirror_300","RT_Normal_0","RT_Normal_60","RT_Normal_120","RT_Normal_180","RT_Normal_240","RT_Normal_300","Error_rates_Mirror_0","Error_rates_Mirror_60","Error_rates_Mirror_120","Error_rates_Mirror_180","Error_rates_Mirror_240","Error_rates_Mirror_300","Error_rates_Normal_0","Error_rates_Normal_60","Error_rates_Normal_120","Error_rates_Normal_180","Error_rates_Normal_240","Error_rates_Normal_300"
"46","C54","CW","M",23,370.53,371.18,423.79,598.86,542.76,457.35,317.74,355.21,540.42,820.42,553.18,458.23,0,0.17,0.17,0.5,0,0.17,0,0,0.17,0,0.5,0.17
"47","C56","CW","F",33,445.65,532.24,655.48,836.08,719.81,395.18,328.46,395.51,491.65,973.06,404.04,346.16,0,0,0,0,0,0,0,0,0,0.17,0,0
"48","C57","CW","M",24,320.62,359.44,428.35,389.49,465.61,244.95,316.28,237.02,503.57,420.67,342.43,202.77,0,0,0,0,0,0,0,0,0,0.17,0,0
"49","C59","CW","M",40,980.24,821.1,1064.25,1237.94,1238.66,1098.91,671.27,541.1,509.55,818.99,731.55,681.6,0,0,0,0.17,0,0,0,0,0,0,0,0
"50","C60","CW","F",39,676.92,471.63,677.68,623.46,500.92,602.38,269.03,344.18,381.38,627.89,485.42,269.72,0,0,0.17,0,0,0.17,0,0,0,0,0,0
"51","S01","STU","F",22,548.78,501.67,441.28,358.96,436.56,468.72,245.9,392.41,442.36,631.75,557.84,516.66,0.33,0.17,0.17,0,0,0,0,0.17,0.17,0.17,0.17,0
"52","S02","STU","F",21,397.61,436.19,411.43,504.67,559.29,340.43,229.44,302.24,575.62,868.51,542.22,353.04,0,0,0,0,0,0,0,0,0,0.67,0.17,0
"53","S03","STU","M",20,574.83,698.96,791.03,897.82,992.3,737.29,387.19,384.65,538.07,841.01,536.74,522.6,0,0,0,0,0,0,0,0,0,0.17,0,0
"54","S04","STU","F",20,558.15,626.28,429.18,377.42,534.45,509.4,531.42,497.63,351.55,331.06,566.33,384.07,0,0,0,0,0.17,0.33,0,0.17,0.33,0.5,0.17,0.17
"55","S05","STU","F",20,604.54,368.93,414.86,420.53,308.54,361.65,289.56,322.05,514.82,642.7,463.96,355.77,0,0,0,0,0.17,0,0.17,0,0,0.33,0,0
"56","S06","STU","F",21,411.47,409.03,432.46,375.85,446.77,465.32,369.04,385.4,394.66,466.83,350.39,437.31,0,0,0,0,0,0,0,0,0.17,0.17,0,0
"57","S07","STU","F",21,811.2,1010.9,2002.69,5265.03,1544.45,948.03,457.23,775.39,1960.37,2534.31,1528.25,757.34,0,0.17,0.17,0.33,0.17,0,0,0.17,0.17,0,0,0
"58","S08","STU","F",20,589.79,599.32,695.59,548.1,582.32,530.51,409.12,425.5,657.73,675.65,811.14,456.98,0,0.17,0,0,0,0,0,0,0,0,0,0
"59","S09","STU","F",21,1385.77,1053.55,705.67,1015.67,1420.15,1624.07,648.44,1060.66,1128.84,NA,1297,1890.03,0,0.33,0.33,0,0.17,0.67,0,0.5,0.5,1,0.83,0.33
"60","S10","STU","F",21,410.63,376.58,435.09,330.2,344.15,509.61,291.41,319.47,359.57,430.21,452.72,287.29,0.5,0,0,0,0.17,0.17,0,0,0,0.67,0.17,0.17
"61","S11","STU","F",20,565.71,585.44,941.81,1373.53,640.65,788.77,466.29,364.87,629.14,1177.45,560.93,538.87,0,0,0,0.17,0,0,0,0,0,0,0,0
